stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening G:\Documentos\GitHub\proyecto-primer-parcial\3erParcial\arboles\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.16184] added dtor for sub_bitmap 0B804B10, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16186] added dtor for sub_bitmap 0B804E00, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16190] added dtor for sub_bitmap 0B8030A0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16192] added dtor for sub_bitmap 0B803680, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16196] added dtor for sub_bitmap 0B8063C0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16199] added dtor for sub_bitmap 0B805800, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16201] added dtor for sub_bitmap 0B805220, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16203] added dtor for sub_bitmap 0B805688, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16206] added dtor for sub_bitmap 0B806B18, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16208] added dtor for sub_bitmap 0B8060D0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16211] added dtor for sub_bitmap 0B8066B0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16213] added dtor for sub_bitmap 0B805DE0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16216] added dtor for sub_bitmap 0B805C68, func 52C42243
